name,artists,genres,popularity,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
Singende Bataillone 1. Teil,Carl Woitschach,,0,-0.116,0.098,-0.140,0.299,0.209,0.145,-0.601,-0.241,-0.072,-0.091,0.069,0.060,-0.339,0.103,-1.109,-0.267
"Fantasiestücke, Op. 111: Più tosto lento","Robert Schumann, Vladimir Horowitz","classical performance, classical piano, early romantic era, classical",0,-0.076,-0.031,0.498,0.487,-0.212,0.023,-0.744,-0.137,0.373,-0.078,-0.457,0.422,-0.107,-0.650,-1.195,0.284
Chapter 1.18 - Zamek kaniowski,Seweryn Goszczyński,,0,-0.097,0.105,0.008,0.609,0.001,0.366,-0.474,0.221,-0.172,-0.445,0.629,0.389,0.008,0.176,-0.738,-0.450
Bebamos Juntos - Instrumental (Remasterizado),Francisco Canaro,"vintage tango, tango",0,0.529,0.480,0.152,1.117,0.652,0.334,-0.586,0.376,-0.168,0.656,0.205,0.215,0.351,-0.433,-1.100,-0.152
"Polonaise-Fantaisie in A-Flat Major, Op. 61","Frédéric Chopin, Vladimir Horowitz","classical, classical performance, classical piano, polish classical, early romantic era",1,0.089,-0.273,0.372,0.364,-0.008,-0.035,-0.526,-0.149,0.430,0.157,-0.495,0.407,-0.277,-0.770,-1.163,0.530
Scherzo a capriccio: Presto,"Felix Mendelssohn, Vladimir Horowitz","classical performance, classical piano, early romantic era, classical",0,-0.030,-0.200,0.143,0.422,-0.103,0.240,-0.671,0.278,0.401,-0.026,-0.401,0.426,-0.041,-0.661,-1.211,0.348
"Valse oubliée No. 1 in F-Sharp Major, S. 215/1","Franz Liszt, Vladimir Horowitz","classical performance, late romantic era, classical, classical piano",0,0.144,-0.090,0.046,0.580,-0.223,0.020,-0.690,-0.246,0.300,-0.297,-0.275,0.475,-0.328,-0.599,-1.279,0.376
Per aspera ad astra,Carl Woitschach,,0,-0.254,0.031,-0.271,0.325,0.333,0.209,-0.631,-0.266,0.000,-0.029,0.106,0.022,0.220,0.153,-1.263,-0.151
Moneda Corriente - Remasterizado,"Francisco Canaro, Charlo","alternative metal, post-grunge, pop punk, vintage tango, tango",0,0.552,0.531,0.111,0.662,0.275,-0.023,-0.455,0.372,-0.604,0.322,0.647,0.087,-0.109,-0.481,-0.651,-0.006
Chapter 1.3 - Zamek kaniowski,Seweryn Goszczyński,,0,-0.107,0.116,0.178,0.584,0.001,0.348,-0.457,-0.288,-0.155,-0.409,0.610,0.314,-0.272,0.186,-0.600,-0.417
"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso","Sergei Rachmaninoff, Vladimir Horowitz","ukrainian classical, classical performance, classical piano, russian romanticism, post-romantic era, classical",0,-0.018,-0.256,0.361,0.431,-0.035,-0.311,-0.552,0.461,0.417,-0.066,-0.466,0.500,-0.171,-0.724,-0.938,0.210
"Piano Sonata No. 2, Op. 35: IV. Finale. Presto","Frédéric Chopin, Vladimir Horowitz","classical, classical performance, classical piano, polish classical, early romantic era",1,-0.162,0.146,0.367,0.713,-0.148,0.082,-0.903,0.319,0.342,-0.079,-0.418,0.327,-0.269,-0.549,-1.142,0.375
"Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto","Samuel Barber, Vladimir Horowitz","american modern classical, early modern classical, classical performance, classical piano, classical",0,-0.101,-0.381,0.304,0.492,-0.176,-0.101,-0.625,-0.139,0.240,-0.030,-0.466,0.376,-0.054,-0.563,-1.187,0.224
"Nachtstücke, Op. 23: No. 4 in F","Robert Schumann, Vladimir Horowitz","classical performance, classical piano, early romantic era, classical",0,-0.181,0.086,0.599,0.615,-0.251,0.130,-0.848,-0.155,0.348,-0.133,-0.458,0.411,0.068,-0.578,-1.081,0.243
"Symphony No. 5 in C Minor, Op. 67: 3. Allegro","Ludwig van Beethoven, Staatskapelle Berlin, Richard Strauss","early modern classical, classical performance, orchestra, classical era, post-romantic era, early romantic era, classical",0,0.096,-0.334,0.019,0.671,-0.163,0.193,-0.687,0.280,0.424,0.049,-0.469,0.510,0.049,-0.585,-0.808,0.325
A Shropshire Lad: Is My Team Ploughing?,"George Butterworth, John Cameron","spytrack, library music, british modern classical, early modern classical",0,-0.003,-0.203,0.386,0.490,-0.184,0.057,-0.522,0.341,-0.365,-0.274,-0.234,0.143,-0.111,0.045,-1.282,0.044
"Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso","Alexander Scriabin, Vladimir Horowitz","impressionism, early modern classical, classical performance, late romantic era, classical piano, russian romanticism, classical",0,-0.081,-0.343,0.223,0.570,-0.115,0.093,-0.578,-0.215,0.260,-0.066,-0.391,0.387,0.099,-0.612,-1.134,0.420
Invocación al Tango - Remasterizado,"Francisco Canaro, Luis Scalon","vintage tango, tango",0,0.518,0.537,0.137,1.015,0.722,0.300,-0.547,0.376,-0.099,0.467,0.211,0.073,0.162,-0.395,-1.108,-0.210
Where the Bee Sucks,"Thomas Arne, John Heddle Nash",galante era,0,0.138,0.103,-0.003,0.303,0.024,0.270,-0.604,-0.252,-0.304,-0.297,0.070,0.033,0.006,0.135,-1.255,-0.039
Tendrás Que Llorar Conmigo - Instrumental (Remasterizado),Francisco Canaro,"vintage tango, tango",0,0.925,0.516,0.196,1.004,0.487,0.167,-0.505,-0.092,-0.336,0.450,0.227,0.218,0.254,-0.405,-1.007,-0.230
"Etude in A-Flat, Op. 72, No. 11","Moritz Moszkowski, Vladimir Horowitz","classical performance, late romantic era, classical piano, polish classical, classical",0,-0.185,0.115,-0.007,0.642,-0.129,0.249,-0.813,-0.304,0.426,-0.127,-0.391,0.378,-0.193,-0.485,-0.550,0.251
Quisiste Cachar un Gil - Instrumental (Remasterizado),Francisco Canaro,"vintage tango, tango",0,1.074,0.433,0.259,1.067,0.432,0.091,-0.441,-0.045,-0.312,0.328,0.377,0.245,0.470,-0.366,-0.933,-0.223
